,Delivered Date,Facility Name,Facility Type,Item Description,Product Source,Type,Units,QTY Per UOM,Total Amount,week_of_year
7636,2020-03-30,Surprise Health and Rehab Center,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,13
7638,2020-03-30,Surprise Health and Rehab Center,Ltcf,"Gloves, non-latex (VINYL), Medium",SNS,gloves,1.0,100.0,100,13
7639,2020-03-30,Surprise Health and Rehab Center,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,13
7640,2020-03-30,Surprise Health and Rehab Center,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,42.0,24.0,1008,13
7668,2020-05-15,Scottsdale Village Square,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,19
7669,2020-05-15,Scottsdale Village Square,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,19
7671,2020-05-15,Scottsdale Village Square,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,19
7672,2020-05-15,Scottsdale Village Square,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,3.0,100.0,300,19
7676,2020-05-15,Scottsdale Village Square,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,2.0,100.0,200,19
7684,2020-05-15,Heritage Court of Scottsdale,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,4.0,50.0,200,19
7685,2020-05-15,Heritage Court of Scottsdale,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,5.0,30.0,150,19
7687,2020-05-15,Heritage Court of Scottsdale,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,4.0,20.0,80,19
7695,2020-05-15,Heritage Court of Scottsdale,Ltcf,Disposable Gown Large,Donations,gowns,2.0,50.0,100,19
7696,2020-05-15,Heritage Court of Scottsdale,Ltcf,"Gown, Surgical, Sterile, XL",Donations,gowns,3.0,30.0,90,19
7698,2020-05-15,Heritage Court of Scottsdale,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,4.0,24.0,96,19
7699,2020-05-15,Heritage Court of Scottsdale,Ltcf,Gown Medium Reusable,Maricopa,alt. gowns,2.5,20.0,50,19
7700,2020-05-15,Heritage Court of Scottsdale,Ltcf,"Gloves, (NITRILE), X Small",Donations,gloves,3.0,100.0,300,19
7701,2020-05-15,Heritage Court of Scottsdale,Ltcf,"Gloves, (NITRILE), Small",Donations,gloves,5.0,100.0,500,19
7702,2020-05-15,Heritage Court of Scottsdale,Ltcf,"Gloves, (NITRILE), Medium",Donations,gloves,5.0,100.0,500,19
7703,2020-05-15,Heritage Court of Scottsdale,Ltcf,"Gloves, (NITRILE), Large",Donations,gloves,5.0,100.0,500,19
7704,2020-05-16,Heritage Court of Scottsdale,Ltcf,"Gloves, (NITRILE), X Large",Donations,gloves,2.0,100.0,200,19
7736,2020-05-18,Cactus Shadow HS,School,Hanes Mask (FEMA ADHS Cloth),ADHS,surgical mask,10.0,500.0,5000,20
7772,2020-05-12,Sun West Choice,Ltcf,Reusable Gowns,Maricopa,gowns,2.5,20.0,50,19
7773,2020-05-12,Sun West Choice,Ltcf,Disposable Gown One Size,Maricopa,gowns,150.0,1.0,150,19
7779,2020-05-12,Life Stream Senior Living at Sun Ridge,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,1.0,50.0,50,19
7780,2020-05-12,Life Stream Senior Living at Sun Ridge,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,1.0,30.0,30,19
7781,2020-05-12,Life Stream Senior Living at Sun Ridge,Ltcf,"Mask, N95 Particulate Respirator NIOSH [Gerson], One-Size",SNS,n95,2.0,20.0,40,19
7794,2020-05-12,Life Stream Senior Living at Sun Ridge,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,19
7802,2020-05-12,Life Stream Senior Living at Sun Ridge,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,1.0,24.0,24,19
7821,2020-05-12,Lake Pleasant Post Acute & Rehab,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,7.0,18.0,126,19
7837,2020-05-12,Lake Pleasant Post Acute & Rehab,Ltcf,Reusable Gowns,Maricopa,gowns,2.5,20.0,50,19
7838,2020-05-12,Hugar Mercy Living Center,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,3.0,50.0,150,19
7839,2020-05-12,Hugar Mercy Living Center,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,3.0,30.0,90,19
7852,2020-05-12,Hugar Mercy Living Center,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,19
7853,2020-05-12,Hugar Mercy Living Center,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,19
7854,2020-05-12,Hugar Mercy Living Center,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,19
7861,2020-05-12,Hugar Mercy Living Center,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,6.0,24.0,144,19
7867,2020-05-12,Integro Health,Private,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,2.0,50.0,100,19
7868,2020-05-12,Integro Health,Private,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,4.0,30.0,120,19
7878,2020-05-12,Integro Health,Private,"Gown, Surgical, Sterile, Large",SNS,gowns,2.0,30.0,60,19
7880,2020-05-12,Integro Health,Private,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,19
7881,2020-05-12,Integro Health,Private,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,19
7882,2020-05-12,Integro Health,Private,"Gloves, (LATEX), Medium",SNS,gloves,3.0,100.0,300,19
7884,2020-05-12,Integro Health,Private,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,19
7886,2020-05-12,Integro Health,Private,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,19
7890,2020-05-12,Integro Health,Private,"Face Shield, Full Foam Top",SNS,face shield,4.0,24.0,96,19
7896,2020-05-12,Integro Health,Private,Reusable Gowns,Maricopa,gowns,2.5,20.0,50,19
7926,2020-05-12,Palos Verdes Senior Living,Ltcf,Reusable Gowns,Maricopa,gowns,1.0,20.0,20,19
7956,2020-05-12,Sunview Respiratory & Rehab,Ltcf,Reusable Gowns,Maricopa,gowns,2.5,20.0,50,19
7957,2020-05-12,Sunview Respiratory & Rehab,Ltcf,Disposable Gown One Size,Maricopa,gowns,150.0,1.0,150,19
7958,2020-05-13,Track House,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,7.0,50.0,350,19
7959,2020-05-13,Track House,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,2.0,30.0,60,19
7987,2020-05-13,Ventana Winds Assisted Living,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,4.0,50.0,200,19
7988,2020-05-13,Ventana Winds Assisted Living,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,16.0,30.0,480,19
7990,2020-05-13,Ventana Winds Assisted Living,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,1.0,20.0,20,19
8016,2020-05-13,Ventana Winds Assisted Living,Ltcf,Reusable Gowns,Maricopa,gowns,2.5,20.0,50,19
8017,2020-05-13,Las Fuentes Assisted Living,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,2.0,50.0,100,19
8035,2020-05-13,Las Fuentes Assisted Living,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,19
8046,2020-05-13,Las Fuentes Assisted Living,Ltcf,Reusable Gowns,Maricopa,gowns,1.8,20.0,36,19
8047,2020-05-13,Mission Palms,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,20.0,50.0,1000,19
8048,2020-05-13,Mission Palms,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,32.0,30.0,960,19
8050,2020-05-13,Mission Palms,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,2.0,20.0,40,19
8061,2020-05-13,Mission Palms,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,19
8062,2020-05-13,Mission Palms,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,5.0,100.0,500,19
8063,2020-05-13,Mission Palms,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,3.0,100.0,300,19
8064,2020-05-13,Mission Palms,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,5.0,100.0,500,19
8065,2020-05-13,Mission Palms,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,5.0,100.0,500,19
8066,2020-05-13,Mission Palms,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,19
8069,2020-05-13,Mission Palms,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,4.0,100.0,400,19
8070,2020-05-13,Mission Palms,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,42.0,24.0,1008,19
8076,2020-05-13,Mission Palms,Ltcf,"Gloves, (LATEX), X Small",Donations,gloves,1.0,100.0,100,19
8077,2020-05-13,Mission Palms,Ltcf,"Gloves, (LATEX), Small",Donations,gloves,2.0,100.0,200,19
8078,2020-05-13,Mission Palms,Ltcf,"Gloves, (LATEX), Medium",Donations,gloves,3.0,100.0,300,19
8079,2020-05-13,Mission Palms,Ltcf,"Gloves, (LATEX), Large",Donations,gloves,3.0,100.0,300,19
8080,2020-05-13,Mission Palms,Ltcf,"Gloves, (NITRILE), X Small",Donations,gloves,1.0,100.0,100,19
8081,2020-05-13,Mission Palms,Ltcf,"Gloves, (NITRILE), Small",Donations,gloves,2.0,100.0,200,19
8082,2020-05-13,Mission Palms,Ltcf,"Gloves, (NITRILE), Medium",Donations,gloves,3.0,100.0,300,19
8083,2020-05-13,Mission Palms,Ltcf,"Gloves, (NITRILE), Large",Donations,gloves,2.0,100.0,200,19
8084,2020-05-13,Mission Palms,Ltcf,"Gloves, (NITRILE), X Large",Donations,gloves,3.0,100.0,300,19
8085,2020-05-13,Mission Palms,Ltcf,"Gloves, non-latex (VINYL), X Small",Donations,gloves,1.0,100.0,100,19
8086,2020-05-13,Mission Palms,Ltcf,"Gloves, non-latex (VINYL), Small",Donations,gloves,2.0,100.0,200,19
8087,2020-05-13,Mission Palms,Ltcf,"Gloves, non-latex (VINYL), Large",Donations,gloves,3.0,100.0,300,19
8088,2020-05-13,Mission Palms,Ltcf,Gown Medium Reusable,Maricopa,gowns,5.0,20.0,100,19
8089,2020-05-13,Mission Palms,Ltcf,Disposable Gown One Size,Maricopa,gowns,50.0,2.0,100,19
8090,2020-05-13,Mission Palms,Ltcf,"Gown, Yellow 3XL Isolation",Maricopa,gowns,50.0,2.0,100,19
8091,2020-05-13,Sante of Chandler,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,2.0,50.0,100,19
8092,2020-05-13,Sante of Chandler,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,2.0,30.0,60,19
8094,2020-05-13,Sante of Chandler,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,2.0,20.0,40,19
8120,2020-05-13,Sante of Chandler,Ltcf,Reusable Gowns,Maricopa,gowns,1.5,20.0,30,19
8150,2020-05-14,North Mountain,Ltcf,"Gown, Yellow 3XL Isolation",Maricopa,gowns,25.0,2.0,50,19
8151,2020-05-14,Pueblo Norte,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,8.0,50.0,400,19
8165,2020-05-14,Pueblo Norte,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,1.0,24.0,24,19
8166,2020-05-14,Pueblo Norte,Ltcf,"Gloves, (LATEX), X Small",Donations,gloves,2.0,100.0,200,19
8167,2020-05-14,Pueblo Norte,Ltcf,"Gloves, (LATEX), Small",Donations,gloves,3.0,100.0,300,19
8168,2020-05-14,Pueblo Norte,Ltcf,"Gloves, (LATEX), Medium",Donations,gloves,3.0,100.0,300,19
8169,2020-05-14,Pueblo Norte,Ltcf,"Gloves, (LATEX), Large",Donations,gloves,6.0,100.0,600,19
8170,2020-05-14,Pueblo Norte,Ltcf,"Gloves, non-latex (VINYL), X Small",Donations,gloves,2.0,100.0,200,19
8171,2020-05-14,Pueblo Norte,Ltcf,"Gloves, non-latex (VINYL), Small",Donations,gloves,2.0,100.0,200,19
8172,2020-05-14,Pueblo Norte,Ltcf,"Gloves, non-latex (VINYL), Medium",Donations,gloves,5.0,100.0,500,19
8173,2020-05-14,Pueblo Norte,Ltcf,Law Enforcement Latex Small,Donations,gloves,4.0,100.0,400,19
8174,2020-05-14,Pueblo Norte,Ltcf,Law Enforcement Latex Medium,Donations,gloves,4.0,100.0,400,19
8175,2020-05-14,Pueblo Norte,Ltcf,Law Enforcement Latex Large,Donations,gloves,4.0,100.0,400,19
8176,2020-05-14,Pueblo Norte,Ltcf,Neoprene Small,Donations,gloves,3.0,100.0,300,19
8177,2020-05-14,Pueblo Norte,Ltcf,Neoprene Medium,Donations,gloves,4.0,100.0,400,19
8178,2020-05-14,Pueblo Norte,Ltcf,Neoprene Large,Donations,gloves,4.0,100.0,400,19
8179,2020-05-14,Pueblo Norte,Ltcf,Neoprene X Large,Donations,gloves,1.0,100.0,100,19
8180,2020-05-14,Pueblo Norte,Ltcf,Gimbel Law Enforcement Gloves,Donations,gloves,2.0,100.0,200,19
8181,2020-05-14,Pueblo Norte,Ltcf,Gimbel Gloves Non Surgical Latex,Donations,gloves,1.0,100.0,100,19
8182,2020-05-14,Sarah's Place at Glencroft,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,7.0,50.0,350,19
8183,2020-05-14,Sarah's Place at Glencroft,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,5.0,30.0,150,19
8184,2020-05-14,Sarah's Place at Glencroft,Ltcf,"Mask, N95 Particulate Respirator NIOSH [Gerson], One-Size",SNS,n95,10.0,20.0,200,19
8196,2020-05-14,Sarah's Place at Glencroft,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,19
8197,2020-05-14,Sarah's Place at Glencroft,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,19
8201,2020-05-14,Sarah's Place at Glencroft,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,19
8211,2020-05-14,Sarah's Place at Glencroft,Ltcf,Gown Medium Reusable,Maricopa,gowns,5.0,20.0,100,19
8212,2020-05-14,The Summit at Sunland Springs,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,4.0,50.0,200,19
8213,2020-05-14,The Summit at Sunland Springs,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,1.0,30.0,30,19
8215,2020-05-14,The Summit at Sunland Springs,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,1.0,20.0,20,19
8227,2020-05-14,The Summit at Sunland Springs,Ltcf,"Gloves, (LATEX), Small",Donations,gloves,1.0,100.0,100,19
8229,2020-05-14,The Summit at Sunland Springs,Ltcf,"Gloves, (LATEX), Large",Donations,gloves,1.0,100.0,100,19
8230,2020-05-13,The Summit at Sunland Springs,Ltcf,"Gloves, (NITRILE), X Small",Donations,gloves,1.0,100.0,100,19
8231,2020-05-14,The Summit at Sunland Springs,Ltcf,"Gloves, (NITRILE), Small",Donations,gloves,1.0,100.0,100,19
8232,2020-05-14,The Summit at Sunland Springs,Ltcf,"Gloves, (NITRILE), Medium",Donations,gloves,2.0,100.0,200,19
8233,2020-05-14,The Summit at Sunland Springs,Ltcf,"Gloves, (NITRILE), Large",Donations,gloves,1.0,100.0,100,19
8234,2020-05-14,The Summit at Sunland Springs,Ltcf,"Gloves, (NITRILE), X Large",Donations,gloves,1.0,100.0,100,19
8235,2020-05-14,The Summit at Sunland Springs,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,1.0,24.0,24,19
8236,2020-05-14,The Summit at Sunland Springs,Ltcf,Reusable Gowns,Maricopa,gowns,2.5,20.0,50,19
8237,2020-05-14,Alpine Villa,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,4.0,50.0,200,19
8286,2020-05-14,East Valley Hospice,Ltcf,Reusable Gowns,Maricopa,gowns,0.6,20.0,12,19
8289,2020-05-14,Glencroft Center for Modern Aging,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,32.0,30.0,960,19
8291,2020-05-14,Glencroft Center for Modern Aging,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,2.0,20.0,40,19
8303,2020-05-14,Glencroft Center for Modern Aging,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,11.0,100.0,1100,19
8304,2020-05-14,Glencroft Center for Modern Aging,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,3.0,100.0,300,19
8306,2020-05-14,Glencroft Center for Modern Aging,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,20.0,100.0,2000,19
8310,2020-05-14,Glencroft Center for Modern Aging,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,5.0,100.0,500,19
8311,2020-05-14,Glencroft Center for Modern Aging,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,1.0,24.0,24,19
8312,2020-05-14,Glencroft Center for Modern Aging,Ltcf,"Gown, Yellow 3XL Isolation",Maricopa,gowns,50.0,2.0,100,19
8313,2020-05-14,Glencroft Center for Modern Aging,Ltcf,Disposable Gown One Size,Maricopa,gowns,100.0,1.0,100,19
8314,2020-05-14,Glencroft Center for Modern Aging,Ltcf,Gown Medium Reusable,Maricopa,gowns,5.0,20.0,100,19
8340,2020-05-14,Horizon Health,Ltcf,Gown Medium Reusable,Maricopa,gowns,2.5,20.0,50,19
8366,2020-05-21,MCDPH - CWHP,County,Disposable KN95 Mask,SNS,n95,3000.0,1.0,3000,20
8368,2020-05-22,Ventana Winds Assisted Living,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,3.0,50.0,150,20
8369,2020-05-22,Ventana Winds Assisted Living,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,5.0,30.0,150,20
8387,2020-05-22,Ventana Winds Assisted Living,Ltcf,"Gloves, (NITRILE), Large",Donations,gloves,21.0,100.0,2100,20
8392,2020-05-22,Ventana Winds Assisted Living,Ltcf,"Gown, Yellow 3XL Isolation",Maricopa,gowns,11.0,50.0,580,20
8394,2020-05-22,Valle Del Sol,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,10.0,50.0,500,20
8396,2020-05-22,Valle Del Sol,Ltcf,Urance KN95 Mask,AZ/MasCache,kn95,600.0,1.0,600,20
8404,2020-05-22,Valle Del Sol,Ltcf,"Hazmat Coverall, 3X-Large",AZ/MasCache,alt. gowns,108.0,1.0,108,20
8420,2020-05-15,Orchard Pointe at Terrazza,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,3.0,30.0,90,19
8422,2020-05-15,Orchard Pointe at Terrazza,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,1.0,20.0,20,19
8442,2020-05-15,Orchard Pointe at Terrazza,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,1.0,24.0,24,19
8444,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,40.0,50.0,2000,19
8445,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,10.0,30.0,300,19
8458,2020-05-16,Pheonix Mountain Post Acute,Ltcf,"Gloves, (LATEX), X Small",Donations,gloves,2.0,100.0,200,19
8459,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Gloves, (LATEX), Small",Donations,gloves,2.0,100.0,200,19
8460,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Gloves, (LATEX), Medium",Donations,gloves,4.0,100.0,400,19
8461,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Gloves, (LATEX), Large        XL 'State'",Donations,gloves,4.0,100.0,400,19
8464,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Gloves, (NITRILE), Large",Donations,gloves,2.0,100.0,200,19
8465,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Gloves, non-latex (VINYL), X Small",Donations,gloves,2.0,100.0,200,19
8466,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Gloves, non-latex (VINYL), Small",Donations,gloves,2.0,100.0,200,19
8467,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Gloves, non-latex (VINYL), Medium",Donations,gloves,2.0,100.0,200,19
8468,2020-05-15,Pheonix Mountain Post Acute,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,4.0,24.0,96,19
8469,2020-05-15,Pheonix Mountain Post Acute,Ltcf,Reusable Gowns,Maricopa,gowns,1.5,20.0,30,19
8471,2020-05-15,Stokes Home Health Care,Private,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,10.0,50.0,500,19
8472,2020-05-15,Stokes Home Health Care,Private,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,2.0,30.0,60,19
8474,2020-05-15,Stokes Home Health Care,Private,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,2.0,20.0,40,19
8484,2020-05-15,Stokes Home Health Care,Private,Disposable XXL Gown,Donations,gowns,50.0,1.0,50,19
8489,2020-05-15,Stokes Home Health Care,Private,"Gloves, (NITRILE), Medium",Donations,gloves,10.0,100.0,1000,19
8490,2020-05-15,Stokes Home Health Care,Private,"Gloves, (NITRILE), Large",Donations,gloves,10.0,100.0,1000,19
8494,2020-05-15,Stokes Home Health Care,Private,"Face Shield, Full Foam Top",SNS,face shield,4.0,24.0,96,19
8508,2020-05-15,Brookdale Trail Ridge,Ltcf,Disposable Gown One Size,SNS,gowns,50.0,1.0,50,19
8509,2020-05-15,Brookdale Trail Ridge,Ltcf,"Gown, Yellow 3XL Isolation",SNS,gowns,50.0,1.0,50,19
8521,2020-05-18,Jane's Place,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,1.0,50.0,50,20
8522,2020-05-18,Jane's Place,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,2.0,30.0,60,20
8534,2020-05-18,Jane's Place,Ltcf,Disposable XXL Gown,Donations,gowns,10.0,1.0,10,20
8538,2020-05-18,Jane's Place,Ltcf,"Gloves, (NITRILE), Small",Donations,gloves,1.0,100.0,100,20
8539,2020-05-18,Jane's Place,Ltcf,"Gloves, (NITRILE), Medium",Donations,gloves,2.0,100.0,200,20
8540,2020-05-18,Jane's Place,Ltcf,"Gloves, (NITRILE), Large",Donations,gloves,1.0,100.0,100,20
8544,2020-05-18,Jane's Place,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,20
8546,2020-05-18,Ohana Developemental Home,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,2.0,50.0,100,20
8557,2020-05-18,Ohana Developemental Home,Ltcf,Surgical Gown Large,Donations,gowns,1.0,30.0,30,20
8560,2020-05-18,Ohana Developemental Home,Ltcf,"Gloves, (LATEX), X Small",Donations,gloves,2.0,100.0,200,20
8561,2020-05-18,Ohana Developemental Home,Ltcf,"Gloves, (LATEX), Small",Donations,gloves,2.0,100.0,200,20
8562,2020-05-18,Ohana Developemental Home,Ltcf,"Gloves, (NITRILE), X Small",Donations,gloves,2.0,100.0,200,20
8563,2020-05-18,Ohana Developemental Home,Ltcf,"Gloves, (NITRILE), Small",Donations,gloves,2.0,100.0,200,20
8564,2020-05-18,Ohana Developemental Home,Ltcf,"Gloves, (NITRILE), Medium",Donations,gloves,5.0,100.0,500,20
8565,2020-05-18,Ohana Developemental Home,Ltcf,"Gloves, (NITRILE), Large",Donations,gloves,4.0,100.0,400,20
8566,2020-05-18,Ohana Developemental Home,Ltcf,"Gloves, (NITRILE), X Large",Donations,gloves,4.0,100.0,400,20
8567,2020-05-18,Ohana Developemental Home,Ltcf,"Gloves, non-latex (VINYL), X Small",Donations,gloves,2.0,100.0,200,20
8568,2020-05-18,Ohana Developemental Home,Ltcf,"Gloves, non-latex (VINYL), Small",Donations,gloves,2.0,100.0,200,20
8569,2020-05-18,Ohana Developemental Home,Ltcf,Law Enforcement Latex Medium,Donations,gloves,5.0,100.0,500,20
8570,2020-05-18,Ohana Developemental Home,Ltcf,Law Enforcement Latex Large,Donations,gloves,4.0,100.0,400,20
8571,2020-05-18,Ohana Developemental Home,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,1.0,24.0,24,20
8573,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,7.0,50.0,350,20
8574,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,7.0,30.0,210,20
8576,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,7.0,20.0,140,20
8587,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Gloves, (LATEX), X Small",Donations,gloves,2.0,100.0,200,20
8588,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Gloves, (LATEX), Small",Donations,gloves,2.0,100.0,200,20
8589,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Gloves, (NITRILE), X Small",Donations,gloves,2.0,100.0,200,20
8590,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Gloves, (NITRILE), Small",Donations,gloves,2.0,100.0,200,20
8591,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Gloves, (NITRILE), Medium",Donations,gloves,4.0,100.0,400,20
8592,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Gloves, (NITRILE), Large",Donations,gloves,4.0,100.0,400,20
8593,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Gloves, (NITRILE), X Large",Donations,gloves,2.0,100.0,200,20
8594,2020-05-18,Pacifica Senior Living Paradise Valley,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,9.0,24.0,216,20
8596,2020-05-18,Pennington Gardens,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,2.0,50.0,100,20
8597,2020-05-18,Pennington Gardens,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,5.0,30.0,150,20
